trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
186,False,"{'a': 0.01, 'e': 0.1572371663136276}",20,0,23.00457540732959,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.01, 'e': 0.1556726303679973}",30,8,25.085665622126754,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.01, 'e': 0.1541236618151314}",20,11,11.26428451463805,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.01, 'e': 0.15259010575688386}",30,16,5.750061943695373,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.01, 'e': 0.15107180883637084}",20,6,-33.554206609436676,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
191,False,"{'a': 0.01, 'e': 0.14956861922263504}",25,15,-33.57808582894958,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
192,False,"{'a': 0.01, 'e': 0.14808038659546244}",20,16,8.045747922187484,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.01, 'e': 0.14660696213035015}",25,18,2.147835640187701,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.01, 'e': 0.14514819848362373}",20,14,12.423199868172398,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.01, 'e': 0.14370394977770293}",30,14,29.672609884503213,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.01, 'e': 0.1422740715865136}",20,13,2.4084603817261483,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.01, 'e': 0.140858420921045}",20,8,21.152822559941452,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.01, 'e': 0.13945685621505094}",35,14,-25.564382013067675,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
199,False,"{'a': 0.01, 'e': 0.13806923731089282}",20,13,-7.371826361413121,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
200,False,"{'a': 0.01, 'e': 0.13669542544552385}",25,11,21.260621368693798,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.01, 'e': 0.1353352832366127}",30,21,17.77426527072577,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
